task	launcher_pid	pid	pgid	status	event_time	elapsed_seconds	exit_code	log_file	output_dir
d5_without	2852815	2852815	2852815	started	2026-08-16T12:23:27+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d5_without.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d5_without
d5_with	2852832	2852832	2852832	started	2026-08-16T12:23:27+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d5_with.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d5_with
d6_without	2852864	2852864	2852864	started	2026-08-16T12:23:27+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d6_without.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d6_without
d6_with	2852896	2852896	2852896	started	2026-08-16T12:23:28+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d6_with.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d6_with
d4_without	2852929	2852929	2852929	started	2026-08-16T12:23:28+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d4_without.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d4_without
d4_with	2852962	2852962	2852962	started	2026-08-16T12:23:28+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d4_with.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d4_with
d3_without	2852995	2852995	2852995	started	2026-08-16T12:23:28+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d3_without.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d3_without
d3_with	2853028	2853028	2853028	started	2026-08-16T12:23:28+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d3_with.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d3_with
d3_with	2853028	2853028	2853028	succeeded	2026-08-16T12:33:31+0000	603	0	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d3_with.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d3_with
d2_without	2949014	2949014	2949014	started	2026-08-16T12:33:31+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d2_without.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d2_without
d3_without	2852995	2852995	2852995	succeeded	2026-08-16T12:33:31+0000	603	0	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d3_without.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d3_without
d2_with	2949053	2949053	2949053	started	2026-08-16T12:33:31+0000	-	-	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/supervisor/20260816_121911_2852602/d2_with.log	/home/jidanhuangdamihua/project/outputs/runs/20260816_183000_d1d6_630ae4ef_h1s42_d5first_p8/d2_with
